
A T O M   T Y P E S

IDX	TYPE	RING
1	C_3	NO
2	C_3	NO
3	C_3	NO
4	S_3+2	NO
5	C_2	NO
6	O_2	NO
7	N_2	AL
8	C_3	AL
9	C_3	AL
10	C_3	AL
11	C_3	AL
12	C_2	NO
13	O_2	NO
14	O_2	NO
15	H_	NO
16	H_	NO
17	H_	NO
18	H_	NO
19	H_	NO
20	H_	NO
21	H_	NO
22	H_	NO
23	H_	NO
24	H_	NO
25	H_	NO
26	H_	NO
27	H_	NO
28	H_	NO
29	H_	NO

S E T T I N G   U P   C A L C U L A T I O N S

SETTING UP BOND CALCULATIONS...
SETTING UP ANGLE CALCULATIONS...
SETTING UP TORSION CALCULATIONS...
SETTING UP OOP CALCULATIONS...
SETTING UP VAN DER WAALS CALCULATIONS...

S T E E P E S T   D E S C E N T

STEPS = 10000

STEP n       E(n)         E(n-1)    
------------------------------------
    0     980.240      ----
   10    370.66625    374.66018
   20    347.24204    348.80430
   30    335.76761    336.67861
   40    328.32644    328.96381
   50    322.86756    323.34975
   60    318.65860    319.03463
   70    315.35389    315.65022
   80    312.74400    312.97829
   90    310.67870    310.86425
  100    309.04112    309.18847
  110    307.73797    307.85555
  120    306.69474    306.78924
  130    305.85237    305.92909
  140    305.16450    305.22757
  150    304.59501    304.64764
  160    304.11587    304.16054
  170    303.70528    303.74394
  180    303.34618    303.38037
  190    303.02498    303.05593
  200    302.73047    302.75922
  210    302.45286    302.48036
  220    302.18285    302.21005
  230    301.91043    301.93843
  240    301.62307    301.65335
  250    301.30221    301.33714
  260    300.91485    300.95902
  270    300.38797    300.45270
  280    299.49417    299.62174
  290    296.68603    297.25763
  300    295.69594    295.73369
  310    295.30494    295.34609
  320    294.87349    294.91934
  330    294.38679    294.43904
  340    293.82515    293.88609
  350    293.16133    293.23419
  360    292.35633    292.44581
  370    291.35230    291.46553
  380    290.05979    290.20807
  390    288.33275    288.53526
  400    285.91089    286.20438
  410    282.23255    282.70780
  420    281.13935    281.17538
  430    280.78218    280.81878
  440    280.41115    280.44996
  450    280.00752    280.05078
  460    279.54306    279.59442
  470    278.96777    279.03419
  480    278.17365    278.27186
  490    276.84139    277.03101
  500    274.76676    274.78338
  510    274.60060    274.61804
  520    274.41792    274.43790
  530    274.19649    274.22200
  540    273.89136    273.92918
  550    273.37768    273.44991
  560    272.03096    272.29406
  570    270.78685    270.79818
  580    270.67096    270.68346
  590    270.53456    270.55015
  600    270.34962    270.37246
  610    270.04039    270.08376
  620    269.24738    269.39727
  630    267.27537    267.28420
  640    267.19076    267.19949
  650    267.10087    267.11066
  660    266.99274    267.00527
  670    266.84047    266.85972
  680    266.56727    266.60736
  690    265.71776    265.90221
  700    263.25603    263.26402
  710    263.18260    263.18988
  720    263.11145    263.11884
  730    263.03485    263.04321
  740    262.94213    262.95288
  750    262.81196    262.82833
  760    262.58286    262.61591
  770    261.92781    262.06032
  780    260.45974    260.46648
  790    260.39224    260.39937
  800    260.31674    260.32511
  810    260.22192    260.23309
  820    260.08308    260.10092
  830    259.82287    259.86188
  840    258.93197    259.13872
  850    258.30787    258.31418
  860    258.24225    258.24941
  870    258.16308    258.17220
  880    258.05365    258.06724
  890    257.86830    257.89435
  900    257.39401    257.48263
  910    256.54173    256.54707
  920    256.48627    256.49232
  930    256.41923    256.42697
  940    256.32583    256.33751
  950    256.16429    256.18736
  960    255.72051    255.80844
  970    255.00301    255.00723
  980    254.95841    254.96336
  990    254.90200    254.90872
 1000    254.81682    254.82806
 1010    254.64229    254.67036
 1020    253.97221    253.99927
 1030    253.92092    253.92397
 1040    253.89100    253.89415
 1050    253.85775    253.86148
 1060    253.81459    253.81984
 1070    253.74487    253.75453
 1080    253.57308    253.60482
 1090    252.91661    252.91936
 1100    252.88889    252.89228
 1110    252.84219    252.84894
 1120    252.77976    252.78184
 1130    252.75624    252.75908
 1140    252.71867    252.72393
 1150    252.62006    252.63906
 1160    252.57746    252.57917
 1170    252.55902    252.56117
 1180    252.53213    252.53572
 1190    252.47265    252.48303
 1200    251.49610    252.06931
 1210    251.29660    251.29675
 1220    251.29060    251.29371
 1230    251.26418    251.26429
 1240    251.26244    251.26267
 1250    251.25207    251.25222
 1260    251.25113    251.25119
 1270    251.24983    251.25043
 1280    251.24265    251.24268
 1290    251.24091    251.24143
 1300    251.23971    251.23975
 1310    251.23815    251.23816
 1320    251.22756    251.22798
    STEEPEST DESCENT HAS CONVERGED
1 molecule converted
